PMT_ID,CircleNo,PositionNo,UpOrDown(0=Up 1=Down),PMTType,Channel(0-2),X,Y,Z,Theta,Phi,GCU,BECID,RMU_ID,RMU_2nd
103,58,35,0,1,0,-2957.98,400.6852,19203.39,8.8354,172.2857,5473,146.0,3,3.0-3.0
104,57,1,0,1,0,-3487.32,-402.594,19114.31,10.4068,-173.4146,5775,45.0,5,5.0-3.0
105,57,2,0,2,2,-3384.99,-930.212,19114.31,10.4068,-164.6341,3308,45.0,5,5.0-3.0
106,57,3,0,2,1,-3203.33,-1436.03,19114.31,10.4068,-155.8536,3308,45.0,5,5.0-3.0
107,57,4,0,2,0,-2946.57,-1908.18,19114.31,10.4068,-147.0732,3308,45.0,5,5.0-3.0
108,57,5,0,2,0,-2620.76,-2335.61,19114.31,10.4068,-138.2927,2990,45.0,5,5.0-3.0
109,57,6,0,2,1,-2233.52,-2708.3,19114.31,10.4068,-129.5122,2990,45.0,5,5.0-3.0
110,57,7,0,2,2,-1793.92,-3017.5,19114.31,10.4068,-120.7317,2990,45.0,5,5.0-3.0
111,57,8,0,2,2,-1312.28,-3255.98,19114.31,10.4068,-111.9513,3346,45.0,5,5.0-3.0
112,57,9,0,2,1,-799.875,-3418.14,19114.31,10.4068,-103.1707,3346,45.0,5,5.0-3.0
113,57,10,0,2,0,-268.725,-3500.18,19114.31,10.4068,-94.3902,3346,45.0,5,5.0-3.0
114,57,11,0,2,1,268.7244,-3500.18,19114.31,10.4068,-85.6098,3329,45.0,5,5.0-3.0
115,57,12,0,2,2,799.8747,-3418.14,19114.31,10.4068,-76.8293,3329,45.0,5,5.0-3.0
116,57,13,0,2,0,1312.277,-3255.98,19114.31,10.4068,-68.0488,3329,45.0,5,5.0-3.0
117,57,14,0,2,0,1793.92,-3017.5,19114.31,10.4068,-59.2683,2962,45.0,5,5.0-3.0
118,57,15,0,2,1,2233.516,-2708.3,19114.31,10.4068,-50.4878,2962,45.0,5,5.0-3.0
119,57,16,0,2,2,2620.759,-2335.61,19114.31,10.4068,-41.7073,2962,45.0,5,5.0-3.0
120,57,17,0,2,0,2946.575,-1908.18,19114.31,10.4068,-32.9268,5887,45.0,5,5.0-3.0
121,57,18,0,2,1,3203.325,-1436.03,19114.31,10.4068,-24.1464,5887,45.0,5,5.0-3.0
122,57,19,0,2,2,3384.992,-930.212,19114.31,10.4068,-15.3659,5887,45.0,5,5.0-3.0
